,PassengerId,Pclass,Sex,SibSp,Parch,Fare,Embarked
0,892.0,3,266.0,0,0,7.8292,46.0
1,893.0,3,152.0,1,0,7.0,270.0
2,894.0,2,266.0,0,0,9.6875,46.0
3,895.0,3,266.0,0,0,8.6625,270.0
4,896.0,3,152.0,1,1,12.2875,270.0
5,897.0,3,266.0,0,0,9.225,270.0
6,898.0,3,152.0,0,0,7.6292,46.0
7,899.0,2,266.0,1,1,29.0,270.0
8,900.0,3,152.0,0,0,7.2292,102.0
9,901.0,3,266.0,2,0,24.15,270.0
10,902.0,3,266.0,0,0,7.8958,270.0
11,903.0,1,266.0,0,0,26.0,270.0
12,904.0,1,152.0,1,0,72.80735,270.0
13,905.0,2,266.0,1,0,26.0,270.0
14,906.0,1,152.0,1,0,61.175,270.0
15,907.0,2,152.0,1,0,27.7208,102.0
16,908.0,2,266.0,0,0,12.35,46.0
17,909.0,3,266.0,0,0,7.225,102.0
18,910.0,3,152.0,1,0,7.925,270.0
19,911.0,3,152.0,0,0,7.225,102.0
20,912.0,1,266.0,1,0,59.4,102.0
21,913.0,3,266.0,0,1,3.1708,270.0
22,914.0,1,152.0,0,0,31.6833,270.0
23,915.0,1,266.0,0,1,61.3792,102.0
24,916.0,1,152.0,1,3,72.80735,102.0
25,917.0,3,266.0,1,0,14.5,270.0
26,918.0,1,152.0,0,1,61.9792,102.0
27,919.0,3,266.0,0,0,7.225,102.0
28,920.0,1,266.0,0,0,30.5,270.0
29,921.0,3,266.0,2,0,21.6792,102.0
30,922.0,2,266.0,1,0,26.0,270.0
31,923.0,2,266.0,2,0,31.5,270.0
32,924.0,3,152.0,1,2,20.575,270.0
33,925.0,3,152.0,1,2,23.45,270.0
34,926.0,1,266.0,1,0,57.75,102.0
35,927.0,3,266.0,0,0,7.2292,102.0
36,928.0,3,152.0,0,0,8.05,270.0
37,929.0,3,152.0,0,0,8.6625,270.0
38,930.0,3,266.0,0,0,9.5,270.0
39,931.0,3,266.0,0,0,56.4958,270.0
40,932.0,3,266.0,0,1,13.4167,102.0
41,933.0,1,266.0,0,0,26.55,270.0
42,934.0,3,266.0,0,0,7.85,270.0
43,935.0,2,152.0,0,0,13.0,270.0
44,936.0,1,152.0,1,0,52.5542,270.0
45,937.0,3,266.0,0,0,7.925,270.0
46,938.0,1,266.0,0,0,29.7,102.0
